date,RSI
2014-12-12,47.1615
2014-12-15,47.4535
2014-12-16,38.9839
2014-12-17,53.6339
2014-12-18,58.2247
2014-12-19,60.3785
2014-12-22,62.8386
2014-12-23,65.3776
2014-12-24,62.6653
2014-12-26,59.6028
2014-12-29,58.9286
2014-12-30,55.6733
2014-12-31,56.5352
2015-01-02,49.4203
2015-01-05,42.5071
2015-01-06,45.0171
2015-01-07,49.8506
2015-01-08,52.5875
2015-01-09,61.9024
2015-01-12,66.1696
2015-01-13,64.5373
2015-01-14,65.1077
2015-01-15,63.0596
2015-01-16,59.9457
2015-01-20,58.991
2015-01-21,60.4448
2015-01-22,65.911
2015-01-23,69.704
2015-01-26,70.8253
2015-01-27,70.8936
2015-01-28,57.91
2015-01-29,63.2806
2015-01-30,61.6129
2015-02-02,62.9085
2015-02-03,68.1845
2015-02-04,70.0688
2015-02-05,70.8134
2015-02-06,70.6556
2015-02-09,74.1309
2015-02-10,75.258
2015-02-11,75.8804
2015-02-12,76.4601
2015-02-13,77.7828
2015-02-17,79.3072
2015-02-18,82.2167
2015-02-19,85.5943
2015-02-20,85.9826
2015-02-23,86.2286
2015-02-24,86.9965
2015-02-25,87.1203
2015-02-26,88.9591
2015-02-27,90.6227
2015-03-02,92.0937
2015-03-03,85.6966
2015-03-04,86.2123
2015-03-05,86.2684
2015-03-06,71.8543
2015-03-09,76.1864
2015-03-10,63.7766
2015-03-11,67.4746
2015-03-12,65.6195
2015-03-13,68.6139
2015-03-16,69.8803
2015-03-17,69.6475
2015-03-18,70.5969
2015-03-19,71.2953
2015-03-20,72.538
2015-03-23,73.5047
2015-03-24,61.6825
2015-03-25,56.9158
2015-03-26,57.872
2015-03-27,60.3961
2015-03-30,64.4787
2015-03-31,64.1042
2015-04-01,55.6351
2015-04-02,58.9919
2015-04-06,60.5237
2015-04-07,53.3362
2015-04-08,57.3274
2015-04-09,48.6411
2015-04-10,47.4193
2015-04-13,42.3757
2015-04-14,44.7719
2015-04-15,46.8658
2015-04-16,42.5251
2015-04-17,38.6044
2015-04-20,46.9721
2015-04-21,44.6175
2015-04-22,41.3397
2015-04-23,42.0229
2015-04-24,41.2832
2015-04-27,35.6711
2015-04-28,39.3107
2015-04-29,40.5883
2015-04-30,27.7816
2015-05-01,34.1127
2015-05-04,32.9409
2015-05-05,30.6715
2015-05-06,28.8985
2015-05-07,31.7633
2015-05-08,30.9754
2015-05-11,34.1816
2015-05-12,29.5968
2015-05-13,33.4046
2015-05-14,34.1115
2015-05-15,32.2671
2015-05-18,40.1353
2015-05-19,37.1906
2015-05-20,37.7806
2015-05-21,37.2159
2015-05-22,39.6963
2015-05-26,39.1174
2015-05-27,37.2178
2015-05-28,37.1431
2015-05-29,34.6
2015-06-01,28.8971
2015-06-02,28.1825
2015-06-03,35.692
2015-06-04,35.692
2015-06-05,42.909
2015-06-08,39.3613
2015-06-09,40.7989
2015-06-10,38.4279
2015-06-11,42.7521
2015-06-12,41.8478
2015-06-15,46.704
2015-06-16,42.8503
2015-06-17,38.8776
2015-06-18,54.4126
2015-06-19,58.2019
2015-06-22,61.207
2015-06-23,59.8679
2015-06-24,56.8784
2015-06-25,58.0454
2015-06-26,66.8143
2015-06-29,55.7433
2015-06-30,57.2683
2015-07-01,54.7296
2015-07-02,57.4388
2015-07-06,55.9075
2015-07-07,57.6251
2015-07-08,54.0359
2015-07-09,55.2984
2015-07-10,60.5496
2015-07-13,63.6769
2015-07-14,68.1202
2015-07-15,66.5852
2015-07-16,67.2104
2015-07-17,68.425
2015-07-20,68.8977
2015-07-21,57.2462
2015-07-22,60.3889
2015-07-23,59.1127
2015-07-24,48.4528
2015-07-27,46.1356
2015-07-28,40.4425
2015-07-29,44.9068
2015-07-30,54.2197
2015-07-31,57.6464
2015-08-03,56.9901
2015-08-04,52.338
2015-08-05,45.2705
2015-08-06,39.2329
2015-08-07,40.1788
2015-08-10,41.0841
2015-08-11,33.9427
2015-08-12,34.6321
2015-08-13,40.5609
2015-08-14,43.5875
2015-08-17,52.3056
2015-08-18,51.1915
2015-08-19,53.7502
2015-08-20,46.1282
2015-08-21,43.2135
2015-08-24,37.1552
2015-08-25,40.4137
2015-08-26,42.5746
2015-08-27,43.2185
2015-08-28,44.3385
2015-08-31,44.151
2015-09-01,37.0121
2015-09-02,38.6113
2015-09-03,37.1672
2015-09-04,39.7042
2015-09-08,41.5205
2015-09-09,37.0172
2015-09-10,36.8451
2015-09-11,35.6547
2015-09-14,35.7665
2015-09-15,37.8584
2015-09-16,38.5765
2015-09-17,43.6062
2015-09-18,47.6832
2015-09-21,40.9681
2015-09-22,32.7683
2015-09-23,29.4933
2015-09-24,33.9862
2015-09-25,33.2955
2015-09-28,28.3745
2015-09-29,27.5652
2015-09-30,36.9439
2015-10-01,35.3372
2015-10-02,38.4139
2015-10-05,42.8947
2015-10-06,46.9653
2015-10-07,51.396
2015-10-08,55.4724
2015-10-09,54.4548
2015-10-12,55.4091
2015-10-13,53.821
2015-10-14,52.0261
2015-10-15,53.6046
2015-10-16,50.2418
2015-10-19,53.7352
2015-10-20,46.677
2015-10-21,39.6637
