date,RSI
2014-12-22,60.6565
2014-12-23,62.5816
2014-12-24,60.7413
2014-12-26,58.6534
2014-12-29,58.1956
2014-12-30,55.9878
2014-12-31,56.566
2015-01-02,51.6552
2015-01-05,46.5505
2015-01-06,48.1839
2015-01-07,51.3894
2015-01-08,53.2459
2015-01-09,59.9446
2015-01-12,63.2489
2015-01-13,62.1179
2015-01-14,62.5517
2015-01-15,61.1692
2015-01-16,59.0624
2015-01-20,58.4178
2015-01-21,59.4169
2015-01-22,63.3137
2015-01-23,66.1887
2015-01-26,67.0603
2015-01-27,67.1128
2015-01-28,58.3948
2015-01-29,62.2252
2015-01-30,61.0596
2015-02-02,61.9822
2015-02-03,65.8661
2015-02-04,67.3107
2015-02-05,67.8831
2015-02-06,67.779
2015-02-09,70.45
2015-02-10,71.3431
2015-02-11,71.8359
2015-02-12,72.2919
2015-02-13,73.337
2015-02-17,74.5663
2015-02-18,77.0343
2015-02-19,80.1705
2015-02-20,80.5491
2015-02-23,80.7867
2015-02-24,81.5291
2015-02-25,81.6485
2015-02-26,83.4759
2015-02-27,85.2587
2015-03-02,86.9572
2015-03-03,82.534
2015-03-04,82.9894
2015-03-05,83.0385
2015-03-06,72.9199
2015-03-09,76.0284
2015-03-10,66.5837
2015-03-11,69.1946
2015-03-12,67.7615
2015-03-13,69.8775
2015-03-16,70.7825
2015-03-17,70.6107
2015-03-18,71.2711
2015-03-19,71.7537
2015-03-20,72.6105
2015-03-23,73.2782
2015-03-24,64.8631
2015-03-25,61.2813
2015-03-26,61.8855
2015-03-27,63.485
2015-03-30,66.1487
2015-03-31,65.8825
2015-04-01,59.7248
2015-04-02,61.8824
2015-04-06,62.8792
2015-04-07,57.5703
2015-04-08,60.1598
2015-04-09,53.4967
2015-04-10,52.5297
2015-04-13,48.4717
2015-04-14,50.0115
2015-04-15,51.3579
2015-04-16,47.9586
2015-04-17,44.7819
2015-04-20,50.2904
2015-04-21,48.4607
2015-04-22,45.88
2015-04-23,46.3281
2015-04-24,45.7583
2015-04-27,41.3189
2015-04-28,43.6752
2015-04-29,44.5031
2015-04-30,33.8528
2015-05-01,38.2516
2015-05-04,37.2686
2015-05-05,35.3557
2015-05-06,33.8437
2015-05-07,35.793
2015-05-08,35.1539
2015-05-11,37.303
2015-05-12,33.6659
2015-05-13,36.2555
2015-05-14,36.7345
2015-05-15,35.3372
2015-05-18,40.6967
2015-05-19,38.5671
2015-05-20,38.9705
2015-05-21,38.5706
2015-05-22,40.2208
2015-05-26,39.8291
2015-05-27,38.5447
2015-05-28,38.4944
2015-05-29,36.7783
2015-06-01,32.6742
2015-06-02,32.135
2015-06-03,36.9383
2015-06-04,36.9383
2015-06-05,41.7041
2015-06-08,39.3685
2015-06-09,40.3279
2015-06-10,38.7674
2015-06-11,41.6365
2015-06-12,41.0579
2015-06-15,44.3159
2015-06-16,41.8792
2015-06-17,39.2657
2015-06-18,50.3888
2015-06-19,53.3665
2015-06-22,55.7839
2015-06-23,54.9182
2015-06-24,52.9872
2015-06-25,53.8703
2015-06-26,60.883
2015-06-29,53.3502
2015-06-30,54.5344
2015-07-01,52.7717
2015-07-02,54.8213
2015-07-06,53.7772
2015-07-07,55.0494
2015-07-08,52.635
2015-07-09,53.5381
2015-07-10,57.3871
2015-07-13,59.7744
2015-07-14,63.3071
2015-07-15,62.2992
2015-07-16,62.7892
2015-07-17,63.7362
2015-07-20,64.1026
2015-07-21,56.5147
2015-07-22,58.7536
2015-07-23,57.8979
2015-07-24,50.4244
2015-07-27,48.7126
2015-07-28,44.3781
2015-07-29,47.3832
2015-07-30,53.9787
2015-07-31,56.528
2015-08-03,56.061
2015-08-04,52.7362
2015-08-05,47.4732
2015-08-06,42.7235
2015-08-07,43.38
2015-08-10,43.9993
2015-08-11,38.3057
2015-08-12,38.7756
2015-08-13,42.842
2015-08-14,44.956
2015-08-17,51.2784
2015-08-18,50.4803
2015-08-19,52.3626
2015-08-20,46.8732
2015-08-21,44.6949
2015-08-24,40.0053
2015-08-25,42.313
2015-08-26,43.8453
2015-08-27,44.2975
2015-08-28,45.0734
2015-08-31,44.9416
2015-09-01,39.7609
2015-09-02,40.835
2015-09-03,39.7742
