Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI
2020-06-17,5.409999847412109,5.630000114440918,5.309999942779541,5.420000076293945,3030800,0,0,53.42509191284096
2020-06-18,5.349999904632568,5.71999979019165,5.340000152587891,5.630000114440918,5619700,0,0,56.18734419755937
2020-06-19,6.199999809265137,6.25,5.460000038146973,5.519999980926514,13137400,0,0,54.36841202181932
2020-06-22,5.480000019073486,5.480000019073486,5.210000038146973,5.329999923706055,4412800,0,0,51.280429340055186
2020-06-23,5.369999885559082,5.400000095367432,5.039999961853027,5.099999904632568,5699300,0,0,47.74520640246881
2020-06-24,4.989999771118164,5.119999885559082,4.510000228881836,4.789999961853027,8104100,0,0,43.40215588287126
2020-06-25,4.570000171661377,4.590000152587891,4.170000076293945,4.269999980926514,8251400,0,0,37.276814526330234
2020-06-26,4.260000228881836,4.690000057220459,4.150000095367432,4.179999828338623,5601000,0,0,36.321369271562645
2020-06-29,3.9100000858306885,4.440000057220459,3.75,4.420000076293945,9321600,0,0,40.68721569479623
2020-06-30,4.340000152587891,4.360000133514404,4.210000038146973,4.289999961853027,3653400,0,0,39.122560187108895
2020-07-01,4.260000228881836,4.599999904632568,4.260000228881836,4.570000171661377,4914500,0,0,44.1080657686535
2020-07-02,4.690000057220459,4.690000057220459,4.46999979019165,4.53000020980835,3908400,0,0,43.559259306063964
2020-07-06,4.619999885559082,4.639999866485596,4.130000114440918,4.28000020980835,5489700,0,0,40.19322046148445
2020-07-07,4.179999828338623,4.289999961853027,4.079999923706055,4.130000114440918,2667600,0,0,38.28175402970501
2020-07-08,4.489999771118164,4.519999980926514,4.199999809265137,4.429999828338623,5586800,0,0,44.01618523858221
2020-07-09,4.480000019073486,4.599999904632568,4.179999828338623,4.570000171661377,4225700,0,0,46.513723119525416
2020-07-10,4.389999866485596,4.599999904632568,4.380000114440918,4.599999904632568,3306100,0,0,47.058748555159035
2020-07-13,4.760000228881836,4.820000171661377,4.25,4.260000228881836,4464800,0,0,41.85338797372063
2020-07-14,4.25,4.269999980926514,4.099999904632568,4.21999979019165,3291400,0,0,41.274935367695186
2020-07-15,4.369999885559082,4.579999923706055,4.21999979019165,4.5,4830700,0,0,46.81603732679575
2020-07-16,4.329999923706055,4.480000019073486,4.309999942779541,4.380000114440918,1997500,0,0,44.86232087407612
2020-07-17,4.360000133514404,4.369999885559082,4.199999809265137,4.269999980926514,2101700,0,0,43.08726167665288
2020-07-20,4.210000038146973,4.230000019073486,4.070000171661377,4.150000095367432,2393100,0,0,41.173359606387116
2020-07-21,4.150000095367432,4.239999771118164,4.079999923706055,4.150000095367432,1925900,0,0,41.173359606387116
2020-07-22,4.099999904632568,4.170000076293945,4.0,4.03000020980835,2798800,0,0,39.15619796824328
2020-07-23,4.079999923706055,4.179999828338623,4.0,4.059999942779541,3614300,0,0,39.94828166489718
2020-07-24,4.0,4.179999828338623,3.9600000381469727,4.0,3282400,0,0,38.85869672691962
2020-07-27,4.010000228881836,4.03000020980835,3.809999942779541,3.869999885559082,2980500,0,0,36.53364019528802
2020-07-28,3.8499999046325684,4.25,3.8399999141693115,4.150000095367432,6226600,0,0,44.268388603361515
2020-07-29,4.070000171661377,4.199999809265137,3.950000047683716,4.159999847412109,5489400,0,0,44.52839789571848
2020-07-30,4.119999885559082,4.340000152587891,4.059999942779541,4.119999885559082,3699100,0,0,43.65111900435597
2020-07-31,4.079999923706055,4.150000095367432,3.950000047683716,4.039999961853027,2584900,0,0,41.874222844015144
2020-08-03,4.050000190734863,4.199999809265137,3.859999895095825,4.110000133514404,4047100,0,0,44.02147160263149
2020-08-04,4.070000171661377,4.239999771118164,4.059999942779541,4.099999904632568,3267800,0,0,43.772693371162404
2020-08-05,4.079999923706055,4.170000076293945,4.070000171661377,4.150000095367432,1691500,0,0,45.43313356810966
2020-08-06,4.110000133514404,4.239999771118164,3.990000009536743,4.139999866485596,3742600,0,0,45.14597751119774
2020-08-07,4.139999866485596,5.260000228881836,4.090000152587891,4.75,24917400,0,0,61.23919160947069
2020-08-10,4.650000095367432,4.739999771118164,4.349999904632568,4.46999979019165,5048200,0,0,53.48277150469894
2020-08-11,4.699999809265137,4.849999904632568,4.539999961853027,4.559999942779541,5794800,0,0,55.4365712345157
2020-08-12,4.619999885559082,4.760000228881836,4.559999942779541,4.639999866485596,2457900,0,0,57.159059304327386
2020-08-13,5.099999904632568,5.769999980926514,4.820000171661377,5.309999942779541,23259200,0,0,68.23340833845636
2020-08-14,5.559999942779541,5.630000114440918,5.050000190734863,5.539999961853027,12055800,0,0,71.00436385164896
2020-08-17,5.71999979019165,5.849999904632568,5.429999828338623,5.599999904632568,7159200,0,0,71.69792515733118
2020-08-18,5.570000171661377,5.570000171661377,5.130000114440918,5.349999904632568,5790700,0,0,64.74840029488084
2020-08-19,5.340000152587891,5.46999979019165,5.179999828338623,5.389999866485596,5728300,0,0,65.32747978971335
2020-08-20,5.570000171661377,5.78000020980835,5.300000190734863,5.690000057220459,13728400,0,0,69.38895783200647
2020-08-21,5.679999828338623,5.679999828338623,5.179999828338623,5.190000057220459,8216900,0,0,57.33449532289149
2020-08-24,5.349999904632568,5.449999809265137,4.940000057220459,5.409999847412109,8498200,0,0,60.579508511208914
2020-08-25,5.460000038146973,5.579999923706055,5.210000038146973,5.539999961853027,5296900,0,0,62.39938006148439
2020-08-26,5.449999809265137,5.670000076293945,5.329999923706055,5.599999904632568,4419400,0,0,63.24281716978998
2020-08-27,5.809999942779541,7.099999904632568,5.699999809265137,6.519999980926514,31921200,0,0,73.17791159813952
2020-08-28,6.489999771118164,6.539999961853027,6.110000133514404,6.300000190734863,9882700,0,0,68.41574148028302
2020-08-31,6.329999923706055,6.449999809265137,5.760000228881836,5.880000114440918,9820200,0,0,60.34230264921232
2020-09-01,5.789999961853027,6.179999828338623,5.789999961853027,6.070000171661377,9524000,0,0,62.49827323822569
2020-09-02,7.010000228881836,7.710000038146973,6.460000038146973,7.039999961853027,43056200,0,0,71.12796563813423
2020-09-03,6.940000057220459,7.139999866485596,6.480000019073486,6.599999904632568,10626600,0,0,63.94035013516963
2020-09-04,6.760000228881836,7.019999980926514,6.230000019073486,7.019999980926514,9328800,0,0,67.33367930458769
2020-09-08,6.760000228881836,6.949999809265137,6.369999885559082,6.420000076293945,6667400,0,0,58.81830940729857
2020-09-09,6.539999961853027,6.539999961853027,6.110000133514404,6.260000228881836,5578200,0,0,56.75699776097259
2020-09-10,6.28000020980835,6.360000133514404,5.880000114440918,5.940000057220459,5881800,0,0,52.77351905054778
2020-09-11,6.059999942779541,6.070000171661377,5.599999904632568,5.789999961853027,4863000,0,0,50.967740565403616
2020-09-14,5.840000152587891,5.869999885559082,5.510000228881836,5.539999961853027,4638100,0,0,48.018628166625206
2020-09-15,5.599999904632568,5.869999885559082,5.519999980926514,5.519999980926514,5099300,0,0,47.78043991108368
2020-09-16,5.519999980926514,5.880000114440918,5.420000076293945,5.760000228881836,4380600,0,0,50.92621005980386
2020-09-17,5.670000076293945,5.789999961853027,5.579999923706055,5.71999979019165,2619700,0,0,50.38145381092574
2020-09-18,5.710000038146973,5.739999771118164,5.570000171661377,5.670000076293945,2428500,0,0,49.66628269156868
2020-09-21,5.420000076293945,5.480000019073486,5.010000228881836,5.320000171661377,4563200,0,0,44.86525208006053
2020-09-22,5.21999979019165,5.320000171661377,5.139999866485596,5.210000038146973,2090100,0,0,43.4438685478522
2020-09-23,5.21999979019165,5.289999961853027,4.739999771118164,4.78000020980835,4285200,0,0,38.3315562860109
2020-09-24,4.690000057220459,4.900000095367432,4.360000133514404,4.610000133514404,4569700,0,0,36.502700765454705
2020-09-25,4.639999866485596,4.929999828338623,4.5,4.880000114440918,2375500,0,0,41.293504727616025
2020-09-28,5.039999961853027,5.039999961853027,4.610000133514404,4.909999847412109,4676500,0,0,41.81876484003948
2020-09-29,4.880000114440918,4.940000057220459,4.75,4.860000133514404,2520000,0,0,41.15780467883543
2020-09-30,4.800000190734863,4.949999809265137,4.699999809265137,4.710000038146973,2515400,0,0,39.15823785909494
2020-10-01,4.78000020980835,4.800000190734863,4.630000114440918,4.650000095367432,3223800,0,0,38.355533299750334
2020-10-02,4.480000019073486,4.659999847412109,4.420000076293945,4.650000095367432,3576000,0,0,38.35553329975033
2020-10-05,4.300000190734863,4.360000133514404,4.050000190734863,4.130000114440918,9468800,0,0,31.802833606784233
2020-10-06,4.260000228881836,4.269999980926514,4.050000190734863,4.059999942779541,8404200,0,0,31.034210560052614
2020-10-07,4.079999923706055,4.110000133514404,3.940000057220459,4.039999961853027,6917700,0,0,30.80513128020162
2020-10-08,4.130000114440918,4.179999828338623,4.019999980926514,4.139999866485596,7868500,0,0,33.45025617266943
2020-10-09,4.170000076293945,4.179999828338623,4.039999961853027,4.050000190734863,5021400,0,0,32.25517411614803
2020-10-12,4.03000020980835,4.090000152587891,4.0,4.079999923706055,3245700,0,0,33.11300385449296
2020-10-13,3.9000000953674316,3.9100000858306885,3.5199999809265137,3.5399999618530273,10164700,0,0,26.58690347818593
2020-10-14,3.0899999141693115,3.200000047683716,2.6600000858306885,2.9600000381469727,31709400,0,0,21.65113547990026
